,Organ,Cell Type,Time Point,Condition,Source,Cell Count,Original Labels
Mammary Gland Secretory alveoli cell WK6-10 [lactation Wfdc3&Wap high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Wfdc3&Wap high,MC20,299,Secretory alveoli cell_Wfdc3&Wap high(Mammary-Gland-Lactation)
Pancreas Endothelial cell WK6-10 [Tm4sf1 high] (MC20),Pancreas,Endothelial cell,WK6-10,Tm4sf1 high,MC20,136,Endothelial cell_Tm4sf1 high(Pancreas)
Ovary Cumulus cell WK6-10 [Ube2c high] (MC20),Ovary,Cumulus cell,WK6-10,Ube2c high,MC20,407,Cumulus cell_Ube2c high(Ovary)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Cd63 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Cd63 high,MC20,83,Secretory alveoli cell_Cd63 high(Mammary-Gland-Lactation)
Small Intestine Epithelium of small intestinal villi WK6-10 [mt-Nd1 high] (MC20),Small Intestine,Epithelium of small intestinal villi,WK6-10,mt-Nd1 high,MC20,88,Epithelium of small intestinal villi_mt-Nd1 high(Small-Intestine)
Stomach Endocrine cell E14.5 (MC20),Stomach,Endocrine cell,E14.5,,MC20,228,Endocrine cell(Fetal_Stomache)
Bone Marrow Dendritic cell WK6-10 [Siglech high] (MC20),Bone Marrow,Dendritic cell,WK6-10,Siglech high,MC20,11,Dendritic cell_Siglech high(Bone-Marrow)
Liver Macrophage WK6-10 [Chil3 high] (MC20),Liver,Macrophage,WK6-10,Chil3 high,MC20,191,Macrophage_Chil3 high(Liver)
Female  Gonad Female fetal gonad cell E14.5 [Kctd14 high] (MC20),Female  Gonad,Female fetal gonad cell,E14.5,Kctd14 high,MC20,0,Female fetal gonad cell_Kctd14 high(Female_Fetal_Gonad)
Mesenchyme Macrophage E14.5 (MC20),Mesenchyme,Macrophage,E14.5,,MC20,295,Macrophage(Embryonic-Mesenchyme)
Mammary Gland NK WK6-10 [pregnancy cells_Gzmb high] (MC20),Mammary Gland,NK,WK6-10,pregnancy cells_Gzmb high,MC20,183,NK_cells_Gzmb high(Mammary-Gland-Pregrancy)
Liver Erythroblast WK6-10 [Hbb-bs high] (MC20),Liver,Erythroblast,WK6-10,Hbb-bs high,MC20,555,Erythroblast_Hbb-bs high(Liver)
Bladder Umbrella cell WK6-10 (MC20),Bladder,Umbrella cell,WK6-10,,MC20,75,Umbrella cell(Bladder)
Bone Marrow Mesenchyme B cell WK6-10 (MC20),Bone Marrow Mesenchyme,B cell,WK6-10,,MC20,441,B cell(Bone_Marrow_Mesenchyme)
Brain Granulocyte P1 [Ly6c2 high] (MC20),Brain,Granulocyte,P1,Ly6c2 high,MC20,0,Granulocyte_Ly6c2 high(Neonatal_Brain)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Ly6a high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Ly6a high,MC20,91,Secretory alveoli cell_Ly6a high(Mammary-Gland-Lactation)
Bone Marrow Mesenchyme Fibroblasts WK6-10 (MC20),Bone Marrow Mesenchyme,Fibroblasts,WK6-10,,MC20,333,Fibroblasts(Bone_Marrow_Mesenchyme)
Pancreas Acinar cell WK6-10 (MC20),Pancreas,Acinar cell,WK6-10,,MC20,260,Acinar cell(Pancreas)
Brain Choroid plexus epithelium P1 (MC20),Brain,Choroid plexus epithelium,P1,,MC20,0,Choroid plexus epithelium(Neonatal_Brain)
Brain Microglia P1 (MC20),Brain,Microglia,P1,,MC20,0,Microglia(Neonatal_Brain)
Brain Macrophage WK6-10 [Lyz2 high] (MC20),Brain,Macrophage,WK6-10,Lyz2 high,MC20,36,Macrophage_Lyz2 high(Brain)
Mammary Gland T cell WK6-10 [virgin Cd8b1 high] (MC20),Mammary Gland,T cell,WK6-10,virgin Cd8b1 high,MC20,1788,T cell_Cd8b1 high(Mammary-Gland-Virgin)
Mammary Gland B cell WK6-10 [pregnancy Ly6d high] (MC20),Mammary Gland,B cell,WK6-10,pregnancy Ly6d high,MC20,607,B cell_Ly6d high(Mammary-Gland-Pregrancy)
Bladder Basal epithelial cell WK6-10 (MC20),Bladder,Basal epithelial cell,WK6-10,,MC20,344,Basal epithelial cell(Bladder)
Mammary Gland Secretory alveoli cell WK6-10 [lactation] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation,MC20,43,Secretory alveoli cell(Mammary-Gland-Lactation)
Pancreas Stromal cell P1 (MC20),Pancreas,Stromal cell,P1,,MC20,39,Stromal cell(NeonatalPancreas)
Bladder NK cell WK6-10 (MC20),Bladder,NK cell,WK6-10,,MC20,30,NK cell(Bladder)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Apod high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Apod high,MC20,136,Secretory alveoli cell_Apod high(Mammary-Gland-Lactation)
Rib Macrophage P1 [C1qc high] (MC20),Rib,Macrophage,P1,C1qc high,MC20,72,Macrophage_C1qc high(Neonatal-Rib)
Mesenchyme Neuron E14.5 [Npy high] (MC20),Mesenchyme,Neuron,E14.5,Npy high,MC20,72,Neuron_Npy high(Embryonic-Mesenchyme)
Intestine Epithelial cell E14.5 [Lgals2 high] (MC20),Intestine,Epithelial cell,E14.5,Lgals2 high,MC20,334,Epithelial cell_Lgals2 high(Fetal_Intestine)
Intestine Neuronal Cells E14.5 [Rtn1 high] (MC20),Intestine,Neuronal Cells,E14.5,Rtn1 high,MC20,152,Neuronal Cells_Rtn1 high(Fetal_Intestine)
Skin Dividing cell P1 (MC20),Skin,Dividing cell,P1,,MC20,73,Dividing cell(Neonatal-Skin)
Brain Neuron WK6-10 (MC20),Brain,Neuron,WK6-10,,MC20,48,Neuron(Brain)
Female  Gonad Pluripotent stem cell E14.5 (MC20),Female  Gonad,Pluripotent stem cell,E14.5,,MC20,0,Pluripotent stem cell(Female_Fetal_Gonad)
Peripheral Blood T cell WK6-10 [Gm14303 high] (MC20),Peripheral Blood,T cell,WK6-10,Gm14303 high,MC20,131,T cell_Gm14303 high(Peripheral_Blood)
Bergman glia Astroglial cell WK6-10 (MC20),Bergman glia,Astroglial cell,WK6-10,,MC20,30,Astroglial cell(Bergman glia)(Brain)
Mammary Gland NK cell WK6-10 [involution Cd8b1 high] (MC20),Mammary Gland,NK cell,WK6-10,involution Cd8b1 high,MC20,635,NK cell_Cd8b1 high(Mammary-Gland-Involution)
Mammary Gland Dendritic cell WK6-10 [lactation] (MC20),Mammary Gland,Dendritic cell,WK6-10,lactation,MC20,236,Dendritic cell(Mammary-Gland-Lactation)
Mammary Gland T cell WK6-10 [virgin Ly6c2 high] (MC20),Mammary Gland,T cell,WK6-10,virgin Ly6c2 high,MC20,441,T cell_Ly6c2 high(Mammary-Gland-Virgin)
Mammary Gland Myoepithelial cell WK6-10 [pregnancy] (MC20),Mammary Gland,Myoepithelial cell,WK6-10,pregnancy,MC20,94,Myoepithelial cell(Mammary-Gland-Pregrancy)
Pancreas Endothelial cell WK6-10 [Lrg1 high] (MC20),Pancreas,Endothelial cell,WK6-10,Lrg1 high,MC20,21,Endothelial cell_Lrg1 high(Pancreas)
Mammary Gland B cell WK6-10 [lactation Igkv6-23 high] (MC20),Mammary Gland,B cell,WK6-10,lactation Igkv6-23 high,MC20,90,B cell_Igkv6-23 high(Mammary-Gland-Lactation)
Mammary Gland Dendritic cell WK6-10 [virgin Cst3 high] (MC20),Mammary Gland,Dendritic cell,WK6-10,virgin Cst3 high,MC20,111,Dendritic cell_Cst3 high(Mammary-Gland-Virgin)
Female  Gonad Neutrophil E14.5 [Elane high] (MC20),Female  Gonad,Neutrophil,E14.5,Elane high,MC20,0,Neutrophil_Elane high(Female_Fetal_Gonad)
Brain Astrocyte WK6-10 [Mfe8 high] (MC20),Brain,Astrocyte,WK6-10,Mfe8 high,MC20,104,Astrocyte_Mfe8 high(Brain)
Bone Marrow Mast cell WK6-10 (MC20),Bone Marrow,Mast cell,WK6-10,,MC20,4,Mast cell(Bone-Marrow)
Intestine Stromal cell E14.5 [Upk3b high] (MC20),Intestine,Stromal cell,E14.5,Upk3b high,MC20,194,Stromal cell_Upk3b high(Fetal_Intestine)
Ovary Small luteal cell WK6-10 (MC20),Ovary,Small luteal cell,WK6-10,,MC20,558,Small luteal cell(Ovary)
Bone Marrow c kit Multipotent progenitor WK6-10 [Ctla2a high] (MC20),Bone Marrow c kit,Multipotent progenitor,WK6-10,Ctla2a high,MC20,1596,Multipotent progenitor_Ctla2a high(Bone-Marrow_c-kit)
Mesenchyme Ganglion cell E14.5 [Gal high] (MC20),Mesenchyme,Ganglion cell,E14.5,Gal high,MC20,24,Ganglion cell_Gal high(Embryonic-Mesenchyme)
Bone Marrow Neutrophil WK6-10 [Fcnb high] (MC20),Bone Marrow,Neutrophil,WK6-10,Fcnb high,MC20,14,Neutrophil_Fcnb high(Bone-Marrow)
Stem Cell ES E14.5 [Nedd4 high] (MC20),Stem Cell,ES,E14.5,Nedd4 high,MC20,341,ES_Nedd4_high(Embryonic-Stem-Cell)
Heart Left ventricle cardiomyocyte P1 [Myl2 high] (MC20),Heart,Left ventricle cardiomyocyte,P1,Myl2 high,MC20,1139,Left ventricle cardiomyocyte_Myl2 high(Neonatal-Heart)
Bone Marrow Monocyte WK6-10 [Mif high] (MC20),Bone Marrow,Monocyte,WK6-10,Mif high,MC20,2,Monocyte_Mif high(Bone-Marrow)
Skin Smooth muscle cell P1 [Acta2 high] (MC20),Skin,Smooth muscle cell,P1,Acta2 high,MC20,60,Smooth muscle cell_Acta2 high(Neonatal-Skin)
Stem Cell ES E14.5 [Actb high] (MC20),Stem Cell,ES,E14.5,Actb high,MC20,8061,ES_Actb_high(Embryonic-Stem-Cell)
Stomach Epithelial cell WK6-10 [Krt20 high] (MC20),Stomach,Epithelial cell,WK6-10,Krt20 high,MC20,165,Epithelial cell_Krt20 high(Stomach)
Placenta Macrophage WK6-10 [Spp1 high] (MC20),Placenta,Macrophage,WK6-10,Spp1 high,MC20,388,Macrophage_Spp1 high(Placenta)
Female  Gonad Erythroblast E14.5 [Hbb-bs high] (MC20),Female  Gonad,Erythroblast,E14.5,Hbb-bs high,MC20,0,Erythroblast_Hbb-bs high(Female_Fetal_Gonad)
Rib Cartilage cell P1 [Prg4 high] (MC20),Rib,Cartilage cell,P1,Prg4 high,MC20,390,Cartilage cell_Prg4 high(Neonatal-Rib)
Stomach Macrophage E14.5 (MC20),Stomach,Macrophage,E14.5,,MC20,250,Macrophage(Fetal_Stomache)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Iglc1 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Iglc1 high,MC20,250,Secretory alveoli cell_Iglc1 high(Mammary-Gland-Lactation)
Kidney Proximal tubule cell E14.5 (MC20),Kidney,Proximal tubule cell,E14.5,,MC20,0,Proximal tubule cell(Fetal_Kidney)
Testis Leydig cell WK6-10 (MC20),Testis,Leydig cell,WK6-10,,MC20,462,Leydig cell(Testis)
Muscle Skeletal muscle cell P1 [Myl1 high] (MC20),Muscle,Skeletal muscle cell,P1,Myl1 high,MC20,101,Skeletal muscle cell_Myl1 high(Neonatal-Muscle)
Muscle Muscle cell P1 [Actc1 high] (MC20),Muscle,Muscle cell,P1,Actc1 high,MC20,217,Muscle cell_Actc1 high(Neonatal-Muscle)
Stomach Epithelial cell WK6-10 [Gkn3 high] (MC20),Stomach,Epithelial cell,WK6-10,Gkn3 high,MC20,36,Epithelial cell_Gkn3 high(Stomach)
Muscle Macrophage WK6-10 [Ms4a6c high] (MC20),Muscle,Macrophage,WK6-10,Ms4a6c high,MC20,138,Macrophage_Ms4a6c high(Muscle)
Pancreas Macrophage P1 (MC20),Pancreas,Macrophage,P1,,MC20,110,Macrophage(NeonatalPancreas)
Muscle Erythroblast P1 [Car2 high] (MC20),Muscle,Erythroblast,P1,Car2 high,MC20,68,Erythroblast_Car2 high(Neonatal-Muscle)
Male  Gonad Epithelial cells E14.5 (MC20),Male  Gonad,Epithelial cells,E14.5,,MC20,68,Epithelial cells (Male_Fetal_Gonad)
Muscle Muscle cell WK6-10 [Tnnc1 high] (MC20),Muscle,Muscle cell,WK6-10,Tnnc1 high,MC20,10,Muscle cell_Tnnc1 high(Muscle)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Clu high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Clu high,MC20,272,Secretory alveoli cell_Clu high(Mammary-Gland-Lactation)
Brain Oligodendrocytes P1 (MC20),Brain,Oligodendrocytes,P1,,MC20,0,Oligodendrocytes(Neonatal_Brain)
Mesenchyme Skeletal Muscle E14.5 (MC20),Mesenchyme,Skeletal Muscle,E14.5,,MC20,70,Skeletal Muscle(Embryonic-Mesenchyme)
Muscle Erythroblast WK6-10 [Car2 high] (MC20),Muscle,Erythroblast,WK6-10,Car2 high,MC20,181,Erythroblast_Car2 high(Muscle)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Lgals1 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Lgals1 high,MC20,61,Secretory alveoli cell_Lgals1 high(Mammary-Gland-Lactation)
Rib Muscle cell P1 (MC20),Rib,Muscle cell,P1,,MC20,93,Muscle cell(Neonatal-Rib)
Skin Neutrophil P1 (MC20),Skin,Neutrophil,P1,,MC20,12,Neutrophil(Neonatal-Skin)
Intestine Enteric muscle cell E14.5 (MC20),Intestine,Enteric muscle cell,E14.5,,MC20,353,Enteric muscle cell(Fetal_Intestine)
Female  Gonad Mast cell E14.5 (MC20),Female  Gonad,Mast cell,E14.5,,MC20,0,Mast cell(Female_Fetal_Gonad)
liver Dendritic cell E14.5 (MC20),liver,Dendritic cell,E14.5,,MC20,154,Dendritic cell(Fetal-liver)
Rib Osteoclast P1 (MC20),Rib,Osteoclast,P1,,MC20,22,Osteoclast(Neonatal-Rib)
Brain Vascular Endothelial cell P1 (MC20),Brain,Vascular Endothelial cell,P1,,MC20,0,Vascular Endothelial cell(Neonatal_Brain)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Ppp2r3a high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Ppp2r3a high,MC20,27,Secretory alveoli cell_Ppp2r3a high(Mammary-Gland-Lactation)
Skin Endothelial cell P1 (MC20),Skin,Endothelial cell,P1,,MC20,110,Endothelial cell(Neonatal-Skin)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Hsp90aa1 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Hsp90aa1 high,MC20,131,Secretory alveoli cell_Hsp90aa1 high(Mammary-Gland-Lactation)
Testis Spermatocyte WK6-10 [Cabs1 high] (MC20),Testis,Spermatocyte,WK6-10,Cabs1 high,MC20,528,Spermatocyte_Cabs1 high(Testis)
Small Intestine Paneth cell WK6-10 (MC20),Small Intestine,Paneth cell,WK6-10,,MC20,255,Paneth cell(Small-Intestine)
Male  Gonad Smooth muscle cell E14.5 [Ptn high] (MC20),Male  Gonad,Smooth muscle cell,E14.5,Ptn high,MC20,392,Smooth muscle cell_Ptn high(Male_Fetal_Gonad)
Peripheral Blood B cell WK6-10 [Igha high] (MC20),Peripheral Blood,B cell,WK6-10,Igha high,MC20,32,B cell_Igha high(Peripheral_Blood)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Crip1 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Crip1 high,MC20,57,Secretory alveoli cell_Crip1 high(Mammary-Gland-Lactation)
Liver Hepatocyte WK6-10 [Fabp1 high] (MC20),Liver,Hepatocyte,WK6-10,Fabp1 high,MC20,149,Hepatocyte_Fabp1 high(Liver)
Mammary Gland Secretory alveoli cell Rora high WK6-10 [lactation Rgs2 high] (MC20),Mammary Gland,Secretory alveoli cell Rora high,WK6-10,lactation Rgs2 high,MC20,114,Secretory alveoli cell_Rgs2_high_Rora high(Mammary-Gland-Lactation)
Testis Spermatids WK6-10 [Hmgb4 high] (MC20),Testis,Spermatids,WK6-10,Hmgb4 high,MC20,329,Spermatids_Hmgb4 high(Testis)
Male  Gonad Erythrocyte E14.5 [Car2 high] (MC20),Male  Gonad,Erythrocyte,E14.5,Car2 high,MC20,73,Erythrocyte_Car2 high(Male_Fetal_Gonad)
Testis Sertoli cell WK6-10 (MC20),Testis,Sertoli cell,WK6-10,,MC20,269,Sertoli cell(Testis)
Male  Gonad Dendritic cells E14.5 (MC20),Male  Gonad,Dendritic cells,E14.5,,MC20,35,Dendritic cells(Male_Fetal_Gonad)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Cidea high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Cidea high,MC20,329,Secretory alveoli cell_Cidea high(Mammary-Gland-Lactation)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Fth1&Cib1 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Fth1&Cib1 high,MC20,325,Secretory alveoli cell_Fth1&Cib1 high(Mammary-Gland-Lactation)
Bladder Stromal cell WK6-10 [Car3 high] (MC20),Bladder,Stromal cell,WK6-10,Car3 high,MC20,236,Stromal cell_Car3 high(Bladder)
Mammary Gland T cell WK6-10 [involution Icos high] (MC20),Mammary Gland,T cell,WK6-10,involution Icos high,MC20,80,T cell_Icos high(Mammary-Gland-Involution)
Bone Marrow Monocyte WK6-10 [Prtn3 high] (MC20),Bone Marrow,Monocyte,WK6-10,Prtn3 high,MC20,29,Monocyte_Prtn3 high(Bone-Marrow)
Stomach Muscle cell E14.5 (MC20),Stomach,Muscle cell,E14.5,,MC20,214,Muscle cell(Fetal_Stomache)
Skin Mast cell P1 (MC20),Skin,Mast cell,P1,,MC20,73,Mast cell(Neonatal-Skin)
Small Intestine S cell WK6-10 [Gip high] (MC20),Small Intestine,S cell,WK6-10,Gip high,MC20,26,S cell_Gip high(Small-Intestine)
Bone Marrow Mesenchyme Myoblast WK6-10 (MC20),Bone Marrow Mesenchyme,Myoblast,WK6-10,,MC20,62,Myoblast(Bone_Marrow_Mesenchyme)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Cidea&Elovl5 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Cidea&Elovl5 high,MC20,238,Secretory alveoli cell_Cidea&Elovl5 high(Mammary-Gland-Lactation)
Stomach Immunocyte E14.5 [Lyz2 high] (MC20),Stomach,Immunocyte,E14.5,Lyz2 high,MC20,183,Immunocyte_Lyz2 high(Fetal_Stomache)
Mesenchyme Dendritic Cell E14.5 (MC20),Mesenchyme,Dendritic Cell,E14.5,,MC20,66,Dendritic Cell(Embryonic-Mesenchyme)
Rib Stromal cell P1 [Acta1 high] (MC20),Rib,Stromal cell,P1,Acta1 high,MC20,372,Stromal cell_Acta1 high(Neonatal-Rib)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Gm1673 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Gm1673 high,MC20,171,Secretory alveoli cell_Gm1673 high(Mammary-Gland-Lactation)
Stomach Dividing cell WK6-10 (MC20),Stomach,Dividing cell,WK6-10,,MC20,160,Dividing cell(Stomach)
Small Intestine Macrophage WK6-10 [Cxcl2 high] (MC20),Small Intestine,Macrophage,WK6-10,Cxcl2 high,MC20,8,Macrophage_Cxcl2 high(Small-Intestine)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Malat1 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Malat1 high,MC20,191,Secretory alveoli cell_Malat1 high(Mammary-Gland-Lactation)
Ovary Ovarian surface epithelium cell WK6-10 (MC20),Ovary,Ovarian surface epithelium cell,WK6-10,,MC20,84,Ovarian surface epithelium cell(Ovary)
Small Intestine Columnar epithelium WK6-10 (MC20),Small Intestine,Columnar epithelium,WK6-10,,MC20,267,Columnar epithelium(Small-Intestine)
Peripheral Blood Erythroblast WK6-10 [Hba-a2 high] (MC20),Peripheral Blood,Erythroblast,WK6-10,Hba-a2 high,MC20,22,Erythroblast_Hba-a2 high(Peripheral_Blood)
Rib Oligodendrocyte P1 (MC20),Rib,Oligodendrocyte,P1,,MC20,26,Oligodendrocyte(Neonatal-Rib)
Pancreas Stromal cell WK6-10 [Fn1 high] (MC20),Pancreas,Stromal cell,WK6-10,Fn1 high,MC20,188,Stromal cell_Fn1 high(Pancreas)
Pancreas Erythroblast WK6-10 [Hbb-bt high] (MC20),Pancreas,Erythroblast,WK6-10,Hbb-bt high,MC20,49,Erythroblast_Hbb-bt high(Pancreas)
Small Intestine Epithelium of small intestinal villi WK6-10 [S100g high] (MC20),Small Intestine,Epithelium of small intestinal villi,WK6-10,S100g high,MC20,96,Epithelium of small intestinal villi_S100g high(Small-Intestine)
Brain GABAergic neurons P1 (MC20),Brain,GABAergic neurons,P1,,MC20,0,GABAergic neurons(Neonatal_Brain)
Kidney Fenestrated endothelial cell WK6-10 [Plvap high] (MC20),Kidney,Fenestrated endothelial cell,WK6-10,Plvap high,MC20,117,Fenestrated endothelial cell_Plvap high(Kidney)
Brain Purkinje cell E14.5 (MC20),Brain,Purkinje cell,E14.5,,MC20,76,Purkinje cell(Fetal_Brain)
Testis Pre Sertoli cell WK6-10 [Ctsl high] (MC20),Testis,Pre Sertoli cell,WK6-10,Ctsl high,MC20,99,Pre-Sertoli cell_Ctsl high(Testis)
Bone Marrow c kit Neutrophil WK6-10 [Lcn2 high] (MC20),Bone Marrow c kit,Neutrophil,WK6-10,Lcn2 high,MC20,4647,Neutrophil_Lcn2 high(Bone-Marrow_c-kit)
Lung Stromal cell E14.5 [Ankfy1 high] (MC20),Lung,Stromal cell,E14.5,Ankfy1 high,MC20,2389,Stromal cell_Ankfy1 high(Fetal_Lung)
Bone Marrow Mesenchyme MSC WK6-10 (MC20),Bone Marrow Mesenchyme,MSC,WK6-10,,MC20,82,MSC(Bone_Marrow_Mesenchyme)
Bone Marrow c kit Neutrophil WK6-10 [Ltf high] (MC20),Bone Marrow c kit,Neutrophil,WK6-10,Ltf high,MC20,1559,Neutrophil_Ltf high(Bone-Marrow_c-kit)
Intestine Enterocyte progenitor E14.5 [late_Ccnb1 high] (MC20),Intestine,Enterocyte progenitor,E14.5,late_Ccnb1 high,MC20,163,Enterocyte progenitor_late_Ccnb1 high(Fetal_Intestine)
Mesenchyme Stromal Cell E14.5 [Cxcl14 high] (MC20),Mesenchyme,Stromal Cell,E14.5,Cxcl14 high,MC20,145,Stromal Cell_Cxcl14 high(Embryonic-Mesenchyme)
Pancreas Epithelial cell P1 (MC20),Pancreas,Epithelial cell,P1,,MC20,11,Epithelial cell(NeonatalPancreas)
Mammary Gland Macrophage WK6-10 [involution Plbd1 high] (MC20),Mammary Gland,Macrophage,WK6-10,involution Plbd1 high,MC20,97,Macrophage_Plbd1 high(Mammary-Gland-Involution)
Stomach Stomach cell WK6-10 [Muc5ac high] (MC20),Stomach,Stomach cell,WK6-10,Muc5ac high,MC20,166,Stomach cell_Muc5ac high(Stomach)
Mammary Gland B cell WK6-10 [pregnancy Jchain high] (MC20),Mammary Gland,B cell,WK6-10,pregnancy Jchain high,MC20,5,B cell_Jchain high(Mammary-Gland-Pregrancy)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Cfd high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Cfd high,MC20,309,Secretory alveoli cell_Cfd high(Mammary-Gland-Lactation)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Cgrrf1 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Cgrrf1 high,MC20,234,Secretory alveoli cell_Cgrrf1 high(Mammary-Gland-Lactation)
Rib Erythroblast P1 [Hba-a1 high] (MC20),Rib,Erythroblast,P1,Hba-a1 high,MC20,184,Erythroblast_Hba-a1 high(Neonatal-Rib)
Pancreas Neutrophil P1 [Camp high] (MC20),Pancreas,Neutrophil,P1,Camp high,MC20,290,Neutrophil_Camp high(NeonatalPancreas)
Placenta NK cell WK6-10 (MC20),Placenta,NK cell,WK6-10,,MC20,64,NK cell(Placenta)
Pancreas Neutrophil progenitor P1 (MC20),Pancreas,Neutrophil progenitor,P1,,MC20,131,Neutrophil progenitor(NeonatalPancreas)
Small Intestine Epithelium of small intestinal villi WK6-10 [Fabp6 high] (MC20),Small Intestine,Epithelium of small intestinal villi,WK6-10,Fabp6 high,MC20,428,Epithelium of small intestinal villi_Fabp6 high(Small-Intestine)
Bladder Vascular smooth muscle progenitor cell WK6-10 (MC20),Bladder,Vascular smooth muscle progenitor cell,WK6-10,,MC20,13,Vascular smooth muscle progenitor cell(Bladder)
Muscle Neutrophil P1 [Stfa3 high] (MC20),Muscle,Neutrophil,P1,Stfa3 high,MC20,613,Neutrophil_Stfa3 high(Neonatal-Muscle)
Rib Muscle cell P1 [Actc1 high] (MC20),Rib,Muscle cell,P1,Actc1 high,MC20,24,Muscle cell_Actc1 high(Neonatal-Rib)
Placenta Endothelial cell WK6-10 [Maged2 high] (MC20),Placenta,Endothelial cell,WK6-10,Maged2 high,MC20,153,Endothelial cell_Maged2 high(Placenta)
Brain Erythroblast E14.5 [Hbb-bh1 high] (MC20),Brain,Erythroblast,E14.5,Hbb-bh1 high,MC20,159,Erythroblast_Hbb-bh1 high(Fetal_Brain)
Kidney B cell WK6-10 (MC20),Kidney,B cell,WK6-10,,MC20,21,B cell(Kidney)
Male  Gonad Erythrocyte E14.5 [Hba-a2 high] (MC20),Male  Gonad,Erythrocyte,E14.5,Hba-a2 high,MC20,95,Erythrocyte_Hba-a2 high(Male_Fetal_Gonad)
Bladder Macrophage WK6-10 [Pf4 high] (MC20),Bladder,Macrophage,WK6-10,Pf4 high,MC20,44,Macrophage_Pf4 high(Bladder)
Bone Marrow c kit Erythrocyte progenitor WK6-10 [Hba-a1 high] (MC20),Bone Marrow c kit,Erythrocyte progenitor,WK6-10,Hba-a1 high,MC20,264,Erythrocyte progenitor_Hba-a1 high(Bone-Marrow_c-kit)
Mammary Gland Dendritic cell WK6-10 [involution Ccl22 high] (MC20),Mammary Gland,Dendritic cell,WK6-10,involution Ccl22 high,MC20,94,Dendritic cell_Ccl22 high(Mammary-Gland-Involution)
Bone Marrow Dendritic cell WK6-10 [H2-Eb1 high] (MC20),Bone Marrow,Dendritic cell,WK6-10,H2-Eb1 high,MC20,4,Dendritic cell_H2-Eb1 high(Bone-Marrow)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Ggnbp2 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Ggnbp2 high,MC20,100,Secretory alveoli cell_Ggnbp2 high(Mammary-Gland-Lactation)
Small Intestine B cell WK6-10 [Ighd high] (MC20),Small Intestine,B cell,WK6-10,Ighd high,MC20,117,B cell_Ighd high(Small-Intestine)
Stomach Parietal cell WK6-10 (MC20),Stomach,Parietal cell,WK6-10,,MC20,90,Parietal cell (Stomach)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Cyb561 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Cyb561 high,MC20,40,Secretory alveoli cell_Cyb561 high(Mammary-Gland-Lactation)
Brain Granule neurons E14.5 (MC20),Brain,Granule neurons,E14.5,,MC20,556,Granule neurons(Fetal_Brain)
Mesenchyme Stromal cell E14.5 [Cxcl12 high] (MC20),Mesenchyme,Stromal cell,E14.5,Cxcl12 high,MC20,561,Stromal cell_Cxcl12 high(Embryonic-Mesenchyme)
Kidney Stromal cell WK6-10 [Mgp high] (MC20),Kidney,Stromal cell,WK6-10,Mgp high,MC20,29,Stromal cell_Mgp high(Kidney)
Bladder Vascular endothelial cell WK6-10 (MC20),Bladder,Vascular endothelial cell,WK6-10,,MC20,80,Vascular endothelial cell(Bladder)
